date,ki_role,ki_role_other,ki_resident,ki_disp_status,ki_gender,region,district,settlement,settlement_nearest,settlement_other,site_name,locale,settlement_type,number_families,number_individuals,ki_keeps_record,males_0_1,females_0_1,males_1_4,females_1_4,males_5_17,females_5_17,males_18_59,females_18_59,males_60_over,females_60_over,children,adult_males,adult_females,elderly_males,elderly_females,pop_idps,pop_refugees,pop_returning_idps,pop_returning_refugees,pop_host,idps_arrived,site_full,site_wall,site_expand,site_pathway,site_occupied,site_occupied_majority,camp_management,camp_management_other,cm_agency,committees_onsite,women_representation,conflict_resolution,community_space,womens_space,landowner,landowner_other,private_landowner,private_landowner_other,tenure_agreement,agreement_level,agreement_written,agreement_timed,agreement_expires,recognised_by_authority,rent_charged,rent_charged_other,past_flood,past_flood_date,eviction_three_months,idp_aoo_primary,idp_primary_left,idp_primary_left_other,idp_aoo_secondary,idp_secondary_left,idp_secondary_left_other,idp_aoo_tertiary,idp_tertiary_left,idp_tertiary_left_other,unacc_minors,separated_children,female_hh,child_hh,phys_disabled,mental_disabled,vuln_hh_location,friction_host,friction_site,eviction_notice,cfs_onsite,security_concerns,security_risks,free_movt_men,free_movt_women,free_movt_boys,free_movt_girls,night_light,physical_violence,security_provider,uasc_month,child_recruitment,shelter_types,shelter_types_other,shelter_number,electricity,shelter_support,shelter_support_types,shelter_support_types_other,shelter_lock,shelter_sleeping_sep,nfi_market_avail,nfi_market_distance,nfi_market_safe,wood_collection,wood_distance,toilets_male,toilets_female,toilets_nondisag,bathing,toilets_male_func,toilets_female_func,toilets_nondisag_func,bathing_func,handwashing_toilets,toilets_lock,toilets_lit,toilets_dist,potable_water,potable_water_functioning,water_problems,damaged,dry,polluted,other33,water_problems_other,water_sources,water_sources_other,water_source_distance,water_avail_days,waste_disposal,food_distr,food_distr_freq,food_distr_last,food_market_avail,food_market_dist,food_source,health_avail,health_dist,female_staff,health_birth,impediments_women,types_impediments,types_impediments_other,impediments_othergroups,health_issues,health_issues_other,disease_outbreak,outbreak_last,outbreak_type,outbreak_other,school_avail,school_dist,school_type,school_type_other,nutrition_avail,nutrition_dist,nutrition_service,nutrition_service_other,info_sources,info_sources_other,info_needs,info_needs_other,info_sufficient,complaints_mechanism,primary_language,secondary_languages,geopoint_latitude,geopoint_longitude,n_validation/reliable_ki,n_validation/supported_obs
42990,community_leader, ,yes,idp,female,bay,baidoa,NA-3802-W04-003, , ,Hano 2,urban,spontaneous_site,300,1500,no, , , , , , , , , , ,341,470,5,6,40,109,191,0,0,0,40,yes,no,no,no,42370,42461,local_authority, , ,residents womens, ,committees elders,no,no,private, ,host, ,formal,community,written,no, ,no,no_rent, ,no, ,no,bay,drought, ,bakool,drought, ,gedo,drought, , , ,9, ,2, ,no,no,no,no,yes,none, ,yes,yes,yes,yes,no,no,nat_police, ,no,buul wattle_daub,,110,no,yes,emergency, ,yes,no,yes,10,yes,yes,30,0,0,4,0, , ,4, ,yes,yes,no,no,no, , , , , , , , , ,20,7,daily,none, , ,yes,10,borrowing,no, ,,no, , , , ,malaria diphtheria, ,yes,42461,cholera_awd, ,yes,10,primary, ,no, , , ,community_leader aid_worker radio, ,food water shelter, ,no,yes,somali_maay,somali_benaadir,3.140492379,43.66562599,yes,yes
42992,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3801-Y31-005, , ,Alla aamin,urban,spontaneous_site,210,791,no, , , , , , , , , , ,239,119,378,21,34,50,160,0,0,0,15,yes,no,no,no,40183,40183,residents, , ,residents womens elder_meeting, ,committees community_leader,yes,no,private, ,host, ,formal,community,written,no, ,yes,no_rent, ,no, ,no,bay,drought, ,bakool,drought no_livelihoods, , , , , , ,18, ,7,1,no,no,no,no,no,none, ,yes,yes,yes,yes,yes,no,nat_police, ,no,buul cgi,,170,no,yes,emergency, ,no,no,no, , ,yes,120,0,0,30,0, , ,30, ,yes,yes,no,no,yes,yes, , , , , , ,kiosk, ,5,7,daily,none, , ,yes,5,market,yes,5,yes,no,no, , ,no,malaria, ,yes,42370,cholera_awd, ,yes,10,primary, ,no, , , ,community_leader radio, ,food security water shelter, ,yes,yes,somali_maay,somali_benaadir bravanese,3.140431358,43.67158452,yes,yes
42992,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-010, , ,Ilbeeta,peri_urban,spontaneous_site,380,1520,no, , , , , , , , , , ,725,164,475,67,89,90,150,50,0,0,9,yes,yes,yes,yes,42376,42376,local_authority, , ,residents,yes,committees,yes,no,private, ,business, ,formal,community,written,yes,43709,yes,no_rent, ,no, ,no,bay,drought, ,bakool,conflict_community drought, ,gedo,conflict_community drought, ,10,6,4, , , ,no,no,no,no,no,eviction, ,no,yes,yes,yes,no,no,nat_police,no,no,buul,Buush,290,no,no, , ,no,no,no, , ,no, ,0,0,10,10, , ,10,10,yes,yes,no,no,no, , , , , , , , , ,10,6,weekly,none, , ,no, ,market,no, , ,no, , , , ,cholera_awd, ,no,42739,cholera_awd, ,no, , , ,no, , , ,friends_family radio, ,missing_persons, ,no,no,somali_standard,somali_maay,3.089585,43.63312833,yes,yes
42991,community_leader, ,yes,idp,male,bay,baidoa,NA-3801-Y31-005, , ,Kormari,urban,spontaneous_site,250,860,no, , , , , , , , , , ,283,192,276,42,67,130,120,0,0,0,30,yes,no,yes,yes,41286,41641,residents, , ,residents womens elder_meeting, ,committees community_leader,yes,no,private, ,business, ,formal,community,written,yes,44927,yes,no_rent, ,no, ,no,bakool,drought, ,bay,drought, ,gedo,drought no_livelihoods, , ,20,60, ,5, ,no,no,no,no,yes,none, ,yes,yes,yes,yes,yes,no,nat_police,no,no,cgi,,260,no,yes,emergency permanent nfis, ,yes,no,yes,20,yes,yes,60,0,0,15,0, , ,15, ,yes,yes,no,no,no, , , , , , , , , ,25,7,daily,inkind,less_frequent,42960,yes,15,market,no, ,yes,yes,no, , , ,malaria, ,no,42743,cholera_awd, ,no, , , ,no, , , ,community_leader radio, ,food water shelter, ,yes,no,somali_maay,somali_benaadir,3.1446809,43.66058168,yes,yes
42992,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-008, , ,Ceel bay 2,peri_urban,planned_site,130,253,no, , , , , , , , , , ,87,96,41,19,10,30,100,0,0,0,4,no,no,no,no,42381,42381,local_authority, , ,residents,no,committees,yes,no,private, ,politician, ,formal,community,written,yes,44440,yes,no_rent, ,no, ,no,bay,drought, ,bakool,conflict_community drought, , , , ,2, , , , , ,no,no,no,no,no,none, ,yes,yes,yes,yes,no,no,nat_police,yes,no,buul,Buush,130,no,no, , ,no,no,yes,30,no,yes,40,0,0,9,9, , ,9,9,yes,yes,no,no,yes,yes, , , , , , ,kiosk, ,10,3,weekly,none, , ,no, ,market,no, , ,no, , , , ,cholera_awd, ,yes,42740,cholera_awd, ,yes,10,quranic, ,no, , , ,radio, ,missing_persons, ,no,no,somali_maay,somali_standard,3.089458333,43.63316833,yes,yes
42992,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-008, , ,Bulk Gumur,peri_urban,planned_site,140,349,no, , , , , , , , , , ,151,38,136,9,15,40,100,0,0,0,7,no,no,no,no,42380,42380,no_management, , ,residents,no,committees,yes,yes,private, ,clan, ,formal,community,written,yes,44440,yes,no_rent, ,no, ,no,bay,drought, ,gedo,conflict_community drought, , , , , , , , ,1,3,no,no,no,no,no,conflict_police, ,yes,no,no,no,yes,yes,nat_police, ,no,buul,Buush,190,no,no, , ,no,no,no, , ,no, ,0,0,10,10, , ,10,10,yes,yes,no,no,no, , , , , , , , , ,10,3,never,inkind,monthly,42992,no, ,market,no, , ,no, , , , ,cholera_awd, ,yes,42740,cholera_awd, ,no, , , ,no, , , ,radio, ,missing_persons, ,yes,yes,somali_maay,somali_standard,3.089603333,43.63318167,yes,yes
42993,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-009, , ,Buur iyo shibeelow,peri_urban,planned_site,124,452,no, , , , , , , , , , ,205,78,120,31,18,30,94,0,0,0,25,no,no,no,no,42738,42738,no_management, , ,residents,no,committees,no,yes,private, ,business, ,formal,community,verbal,no, ,no,no_rent, ,no, ,no,bay,conflict_community drought, ,gedo,conflict_community drought, , , , ,20,2,3, ,5, ,no,no,no,no,no,none, ,yes,yes,yes,yes,no,no,nat_police,no,no,buul,Buush,120,no,no, , ,no,no,no, , ,no, ,0,0,6,6, , ,6,6,yes,yes,no,no,no, , , , , , , , , ,30,6,weekly,none, , ,no, ,market,no, , ,no, , , , ,cholera_awd, ,no,42739,cholera_awd, ,no, , , ,no, , , ,friends_family radio, ,missing_persons, ,no,no,somali_standard,somali_maay,3.104421667,43.66236833,no,no
42991,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-008, , ,Hassan muumin,peri_urban,spontaneous_site,355,2130,no, , , , , , , , , , ,700,100,130,200,1000,150,80,60,30,35,6,yes,no,no,no,42742,42742,no_management, , ,residents,yes,committees,no,yes,private, ,business, ,formal,community,written,yes,43344,yes,cash, ,yes,42743,yes,bay,drought, ,bakool,conflict_community drought, ,gedo,conflict_community drought, ,25,15,9,5,5,1,yes,no,no,yes,no,disputes_hc conflict_police, ,yes,yes,yes,yes,no,yes,nat_police,yes,yes,buul,Buush,355,no,yes,emergency, ,no,no,no, , ,no, ,0,0,10,10, , ,10,10,yes,yes,yes,yes,yes,yes, , , , , , ,kiosk, ,5,7,daily,inkind,monthly,42960,yes,5,market,yes,10, ,no, , , ,no,cholera_awd malaria, ,yes,42742,cholera_awd, ,yes,10,quranic, ,yes,20,sc, ,friends_family radio, ,missing_persons, ,yes,yes,somali_maay,somali_standard,3.090488333,43.62821,yes,yes
42991,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-007, , ,Mogor iyo maayow,peri_urban,planned_site,230,713,no, , , , , , , , , , ,265,151,209,31,57,60,70,30,20,50,6,no,no,no,no,42016,42016,no_management, , ,residents,yes,committees,no,no,private, ,business, ,formal,community,written,yes,44682,yes,cash, ,no, ,no,bay,drought, ,bakool,conflict_community drought, ,gedo,conflict_community drought, , ,1, , , , ,no,no,no,no,no,none, ,yes,yes,yes,yes,no,no,nat_police,no,no,other_block,Buush,230,no,yes,emergency, ,no,no,yes,40,yes,yes,30,0,0,3,3, , ,3,3,no,yes,no,no,yes,yes, , , , , , ,piped, ,10,3,weekly,inkind,monthly,42991,yes,30,market,no, , ,no, , , , ,cholera_awd, ,yes,42378,cholera_awd, ,yes,20,quranic, ,no, , , ,friends_family radio, ,missing_persons, ,yes,yes,somali_maay,none,3.098948333,43.636035,yes,yes
42990,community_leader, ,yes,idp,male,bay,baidoa,NA-3801-Y31-005, , ,Garas goof,urban,spontaneous_site,155,775,no, , , , , , , , , , ,203,95,347,53,77,93,62,0,0,0,40,yes,no,no,no,40910,41275,residents, , ,residents womens, ,committees community_leader,yes,no,private, ,host, ,formal,community,written,no, ,yes,no_rent, ,no, ,no,bakool,drought, ,bay,drought, ,gedo,drought no_livelihoods, , , ,25, ,5, ,no,no,no,no,no,none, ,yes,no,no,no,no,no,nat_police, ,no,buul wattle_daub,,148,no,yes,permanent, ,yes,no,yes,20,yes,yes,30,0,0,12,0, , ,12, ,no,yes,no,no,no, , , , , , , , , ,20,7,daily,inkind,less_frequent,42958,yes,20,market,no, , ,no, , , , ,malaria, ,yes,42374,cholera_awd, ,no, , , ,no, , , ,community_leader radio, ,food water market_prices, ,no,yes,somali_maay,somali_benaadir,3.141947435,43.6606287,yes,yes
