list_name,name,label,region,district,,
settlements,NC-3913-N15-001,22 Village,nugaal,garowe,,
settlements,NC-3810-L13-014,26 June/Almis,woqooyi_galbeed,hargeysa,,
settlements,NC-3810-L13-015,26 June/Cayncal,woqooyi_galbeed,hargeysa,,
settlements,NC-3810-L13-008,26 June/Durfa,woqooyi_galbeed,hargeysa,,
settlements,NC-3810-L13-018,26 June/Qol Jamo,woqooyi_galbeed,hargeysa,,
settlements,NA-3806-Q30-016,A/Taraman Mayow,lower_shabelle,wanla_weyn,,
settlements,NA-3806-J12-003,Aabaan Weyn,bay,buur_hakaba,,
settlements,NA-3806-J12-002,Aabaan Yare,bay,buur_hakaba,,
settlements,NA-3801-Y33-006,Aabaraka,bay,baidoa,,
settlements,NA-3807-L01-008,Aabdille-Eenow,lower_shabelle,wanla_weyn,,
settlements,NA-3802-Z15-004,Aabow,bay,buur_hakaba,,
settlements,NC-3810-A07-001,Aada,woqooyi_galbeed,gebiley,,
settlements,NA-3806-X01-006,Aadali-Wiin,bay,buur_hakaba,,
settlements,NA-3810-P10-019,Aadan Harmey,lower_shabelle,sablaale,,
settlements,NC-3810-P15-003,Aadan Muuse,woqooyi_galbeed,hargeysa,,
settlements,NC-3811-M13-002,Aadan Saleebaan,togdheer,burco,,
settlements,NA-3810-F26-003,Aadan-Cadde/Deegaanta,lower_shabelle,marka,,
settlements,NA-3810-E26-013,Aadao Nuur,lower_shabelle,qoryooley,,
settlements,NA-3810-G26-005,Aaliyo,lower_shabelle,marka,,
settlements,NA-3805-S08-004,Aaminaay,gedo,baardheere,,
settlements,NA-3806-D14-009,Aaminey,bay,buur_hakaba,,
settlements,NA-3805-S08-003,Aaminey 9,gedo,baardheere,,
settlements,NA-3806-C05-003,Aaminey/Kobon Koodi,bay,baidoa,,
settlements,NA-3802-Y10-002,Aaminow,bay,baidoa,,
settlements,NA-3805-Z07-001,Aanole,gedo,baardheere,,
