flag,csv_field,alias,type,category,choices,traffic_light,chart,chart_details
0,ki_role,Role,list,Key_informant_information,ki_role,,,
0,ki_role_other,Other role,string,Key_informant_information,,,,
0,ki_resident,Living in the site,string,Key_informant_information,yes_no,,,
0,ki_disp_status,Displacement status,string,Key_informant_information,disp_status,,,
0,ki_gender,Gender,string,Key_informant_information,gender,,,
0,region,Region,string,Geographic_Information,region,,,
0,district,District,string,Geographic_Information,district,,,
0,settlement,Location,string,Geographic_Information,settlements,,,
0,settlement_nearest,Nearest location,string,Geographic_Information,settlements,,,
0,settlement_other,Location name,string,Geographic_Information,,,,
0,site,Site name,string,Geographic_Information,,,,
0,locale,Site setting,string,Geographic_Information,ass_locale,,,
0,settlement_type,Site type,string,Camp_Management,settlement_type,,,
0,number_families,Number of families,integer,Camp_Management,,,,
0,number_individuals,Number of persons present,integer,Camp_Management,,,,
0,ki_keeps_record,"Key informant keeps track of the number, gender and age of IDPs",string,Camp_Management,yes_no,,,
0,males_0_1,Boys under 1 year,integer,Camp_Management,,,age_pyramid,m
0,females_0_1,Girls under 1 year,integer,Camp_Management,,,age_pyramid,f
0,males_1_4,Boys between 1 and 4 years,integer,Camp_Management,,,age_pyramid,m
0,females_1_4,Girls between 1 and 4 years,integer,Camp_Management,,,age_pyramid,f
0,males_5_17,Boys between 5 and 17 years,integer,Camp_Management,,,age_pyramid,m
0,females_5_17,Girls between 5 and 17 years,integer,Camp_Management,,,age_pyramid,f
0,males_18_59,Men between 18 and 58 years,integer,Camp_Management,,,age_pyramid,m
0,females_18_59,Women between 18 and 58 years,integer,Camp_Management,,,age_pyramid,f
0,males_60_over,Men over 59,integer,Camp_Management,,,age_pyramid,m
0,females_60_over,Women over 59,integer,Camp_Management,,,age_pyramid,f
0,children,Children,integer,Camp_Management,,,,
0,adult_males,Men,integer,Camp_Management,,,,
0,adult_females,Women,integer,Camp_Management,,,,
0,elderly_males,Elderly men,integer,Camp_Management,,,,
0,elderly_females,Elderly women,integer,Camp_Management,,,,
0,pop_idps,IDPs,integer,Camp_Management,,,,
0,pop_refugees,Refugees,integer,Camp_Management,,,,
0,pop_returning_idps,Returning IDPs,integer,Camp_Management,,,,
0,pop_returning_refugees,Returning refugees,integer,Camp_Management,,,,
0,pop_host,Host community,integer,Camp_Management,,,,
0,idps_arrived,Arrivals by family in the last 3 months,integer,Camp_Management,,,,
0,site_full,Site at full capacity,string,Camp_Management,yes_no,nogreen,,
0,site_wall,Protective physical structure,string,Camp_Management,yes_no,,,
0,site_expand,Possibility to expand the site,string,Camp_Management,yes_no,,,
0,site_pathway,Areas without adequate space between shelters,string,Camp_Management,yes_no,yesgreen,,
0,site_occupied,Site first occupancy ,date,Camp_Management,,,,
0,site_occupied_majority,Majority of arrivals,date,Camp_Management,,,,
0,camp_management,Agency managing the site,string,Camp_Management,camp_management,yesgreen,,
0,camp_management_other,Other agency,string,Camp_Management,,,,
0,cm_agency,Agency name,string,Camp_Management,,,,
0,committees_onsite,Committees established,list,Camp_Management,committees,nonered,,
0,conflict_resolution,Conflict resolution,list,Camp_Management,conflict_resolution,,,
0,women_representation,Influential women's representation group,string,Camp_Management,yes_no,,,
0,community_space,Covered shared community spaces,string,Camp_Management,yes_no,yesgreen,,
0,womens_space,Designated space for women and girls,string,Camp_Management,yes_no,yesgreen,,
0,landowner,Land ownership,string,Camp_Management,landowner,,,
